contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
SPY250430C00631000,2025-04-11 18:50:16+00:00,631.0,0.03,0.02,0.04,0.0,0.0,12.0,1069,0.273444765625,False,REGULAR,USD
SPY250430C00632000,2025-04-10 17:57:33+00:00,632.0,0.05,0.01,0.04,0.0,0.0,39.0,16561,0.27539787109374997,False,REGULAR,USD
SPY250430C00633000,2025-04-10 15:54:04+00:00,633.0,0.07,0.01,0.04,0.0,0.0,501.0,957,0.27735097656249996,False,REGULAR,USD
SPY250430C00634000,2025-04-10 17:34:29+00:00,634.0,0.03,0.01,0.04,0.0,0.0,3.0,316,0.2802806347656249,False,REGULAR,USD
SPY250430C00635000,2025-04-11 16:39:19+00:00,635.0,0.06,0.01,0.03,0.0,0.0,138.0,1450,0.27539787109374997,False,REGULAR,USD
SPY250430C00636000,2025-04-14 13:30:00+00:00,636.0,0.05,0.01,0.03,0.0,0.0,16.0,712,0.27735097656249996,False,REGULAR,USD
SPY250430C00637000,2025-04-10 14:23:21+00:00,637.0,0.05,0.01,0.03,0.0,0.0,95.0,821,0.27930408203124996,False,REGULAR,USD
SPY250430C00638000,2025-04-10 14:23:24+00:00,638.0,0.05,0.01,0.03,0.0,0.0,95.0,457,0.28125718749999995,False,REGULAR,USD
SPY250430C00639000,2025-04-11 14:54:55+00:00,639.0,0.07,0.01,0.03,0.0,0.0,8.0,443,0.28321029296874994,False,REGULAR,USD
SPY250430C00640000,2025-04-14 13:30:00+00:00,640.0,0.04,0.01,0.03,-0.02,-33.333336,1.0,4827,0.28711650390624993,False,REGULAR,USD
SPY250430C00641000,2025-04-11 18:40:49+00:00,641.0,0.03,0.01,0.03,0.0,0.0,15.0,530,0.2890696093749999,False,REGULAR,USD
SPY250430C00642000,2025-04-09 18:27:07+00:00,642.0,0.06,0.01,0.03,0.0,0.0,2.0,573,0.2910227148437499,False,REGULAR,USD
SPY250430C00643000,2025-04-10 18:29:01+00:00,643.0,0.04,0.01,0.03,0.0,0.0,18.0,668,0.2929758203124999,False,REGULAR,USD
SPY250430C00644000,2025-04-11 19:44:41+00:00,644.0,0.03,0.01,0.03,0.0,0.0,39.0,1079,0.29492892578124996,False,REGULAR,USD
SPY250430C00645000,2025-04-11 14:29:27+00:00,645.0,0.04,0.01,0.03,0.0,0.0,15.0,3184,0.29883513671874995,False,REGULAR,USD
SPY250430C00646000,2025-04-10 17:32:32+00:00,646.0,0.02,0.01,0.03,0.0,0.0,3.0,1568,0.3007882421875,False,REGULAR,USD
SPY250430C00647000,2025-04-11 19:39:11+00:00,647.0,0.03,0.01,0.03,0.0,0.0,1.0,3384,0.30274134765625,False,REGULAR,USD
SPY250430C00648000,2025-04-14 17:37:56+00:00,648.0,0.02,0.01,0.03,-0.01,-33.333336,82.0,875,0.304694453125,False,REGULAR,USD
SPY250430C00650000,2025-04-14 17:38:05+00:00,650.0,0.02,0.02,0.03,-0.02,-50.0,51.0,6313,0.3086006640625,False,REGULAR,USD
SPY250430C00655000,2025-04-14 13:44:58+00:00,655.0,0.02,0.01,0.03,-0.02,-50.0,1.0,1597,0.32031929687499994,False,REGULAR,USD
SPY250430C00660000,2025-04-11 14:13:58+00:00,660.0,0.03,0.01,0.03,0.0,0.0,50.0,2311,0.3320379296875,False,REGULAR,USD
SPY250430C00665000,2025-04-14 16:50:43+00:00,665.0,0.01,0.01,0.03,-0.02,-66.66667,31.0,554,0.3437565625,False,REGULAR,USD
SPY250430C00670000,2025-04-11 14:51:54+00:00,670.0,0.03,0.0,0.02,0.0,0.0,20.0,4248,0.3398503515625,False,REGULAR,USD
SPY250430C00675000,2025-04-11 20:13:59+00:00,675.0,0.02,0.0,0.02,0.0,0.0,63.0,4992,0.35156898437499995,False,REGULAR,USD
SPY250430C00680000,2025-04-14 13:30:04+00:00,680.0,0.01,0.0,0.02,-0.01,-50.0,2.0,5236,0.3632876171875,False,REGULAR,USD
SPY250430C00685000,2025-04-14 13:30:00+00:00,685.0,0.04,0.0,0.02,-0.010000002,-20.000002,27.0,6233,0.3711000390625,False,REGULAR,USD
SPY250430C00690000,2025-04-11 16:20:38+00:00,690.0,0.01,0.0,0.02,0.0,0.0,10.0,2297,0.38281867187499996,False,REGULAR,USD
SPY250430C00695000,2025-04-07 14:36:24+00:00,695.0,0.01,0.0,0.02,0.0,0.0,48.0,579,0.39258419921875,False,REGULAR,USD
SPY250430C00700000,2025-04-14 14:54:22+00:00,700.0,0.01,0.0,0.01,-0.03,-75.0,2.0,2974,0.38281867187499996,False,REGULAR,USD
SPY250430C00705000,2025-04-08 19:35:49+00:00,705.0,0.02,0.0,0.01,0.0,0.0,15.0,600,0.39063109375,False,REGULAR,USD
SPY250430C00710000,2025-04-14 18:31:42+00:00,710.0,0.01,0.0,0.01,-0.03,-75.0,10.0,833,0.398443515625,False,REGULAR,USD
